After iteration 179: w(A1) = 0.3154, w(A2) = 0.5324, w(A3) = -0.2081, w(A4) = -0.0458, w(A5) = -0.4866, w(A6) = -0.2226, w(A7) = -0.6963, w(A8) = -0.3640, w(A9) = 0.2596, w(A10) = 0.0174, w(A11) = 0.8436, w(A12) = -1.1586, w(A13) = -1.1798, output = 0.2637
After iteration 180: w(A1) = 0.2883, w(A2) = 0.5324, w(A3) = -0.2081, w(A4) = -0.0729, w(A5) = -0.4866, w(A6) = -0.2496, w(A7) = -0.6963, w(A8) = -0.3640, w(A9) = 0.2596, w(A10) = -0.0097, w(A11) = 0.8165, w(A12) = -1.1856, w(A13) = -1.2069, output = 0.1652
After iteration 181: w(A1) = 0.2800, w(A2) = 0.5324, w(A3) = -0.2164, w(A4) = -0.0812, w(A5) = -0.4950, w(A6) = -0.2580, w(A7) = -0.7046, w(A8) = -0.3723, w(A9) = 0.2596, w(A10) = -0.0097, w(A11) = 0.8081, w(A12) = -1.1856, w(A13) = -1.2153, output = 0.0950
After iteration 182: w(A1) = 0.2800, w(A2) = 0.4989, w(A3) = -0.2164, w(A4) = -0.1146, w(A5) = -0.5284, w(A6) = -0.2580, w(A7) = -0.7381, w(A8) = -0.4057, w(A9) = 0.2262, w(A10) = -0.0431, w(A11) = 0.7747, w(A12) = -1.1856, w(A13) = -1.2487, output = 0.1710
After iteration 183: w(A1) = 0.2800, w(A2) = 0.4989, w(A3) = -0.2164, w(A4) = -0.1170, w(A5) = -0.5307, w(A6) = -0.2580, w(A7) = -0.7381, w(A8) = -0.4057, w(A9) = 0.2238, w(A10) = -0.0454, w(A11) = 0.7747, w(A12) = -1.1880, w(A13) = -1.2510, output = 0.0517
After iteration 184: w(A1) = 0.2800, w(A2) = 0.4989, w(A3) = -0.2164, w(A4) = 0.0116, w(A5) = -0.5307, w(A6) = -0.2580, w(A7) = -0.7381, w(A8) = -0.4057, w(A9) = 0.3525, w(A10) = -0.0454, w(A11) = 0.9033, w(A12) = -1.1880, w(A13) = -1.1224, output = 0.5362
After iteration 185: w(A1) = 0.2473, w(A2) = 0.4662, w(A3) = -0.2164, w(A4) = -0.0211, w(A5) = -0.5634, w(A6) = -0.2580, w(A7) = -0.7708, w(A8) = -0.4057, w(A9) = 0.3197, w(A10) = -0.0782, w(A11) = 0.9033, w(A12) = -1.1880, w(A13) = -1.1551, output = 0.1743
After iteration 186: w(A1) = 0.3806, w(A2) = 0.5995, w(A3) = -0.0831, w(A4) = 0.1122, w(A5) = -0.4301, w(A6) = -0.1247, w(A7) = -0.7708, w(A8) = -0.4057, w(A9) = 0.3197, w(A10) = 0.0552, w(A11) = 1.0367, w(A12) = -1.1880, w(A13) = -1.0218, output = 0.6282
After iteration 187: w(A1) = 0.4330, w(A2) = 0.5995, w(A3) = -0.0307, w(A4) = 0.1646, w(A5) = -0.3777, w(A6) = -0.1247, w(A7) = -0.7708, w(A8) = -0.3533, w(A9) = 0.3197, w(A10) = 0.0552, w(A11) = 1.0367, w(A12) = -1.1356, w(A13) = -0.9694, output = 0.0937
After iteration 188: w(A1) = 0.3359, w(A2) = 0.5025, w(A3) = -0.0307, w(A4) = 0.0676, w(A5) = -0.4748, w(A6) = -0.1247, w(A7) = -0.7708, w(A8) = -0.3533, w(A9) = 0.3197, w(A10) = 0.0552, w(A11) = 0.9396, w(A12) = -1.2326, w(A13) = -1.0665, output = 0.2833
After iteration 189: w(A1) = 0.2907, w(A2) = 0.4572, w(A3) = -0.0307, w(A4) = 0.0676, w(A5) = -0.4748, w(A6) = -0.1699, w(A7) = -0.8161, w(A8) = -0.3533, w(A9) = 0.2745, w(A10) = 0.0099, w(A11) = 0.8943, w(A12) = -1.2779, w(A13) = -1.1117, output = 0.1902
After iteration 190: w(A1) = 0.2907, w(A2) = 0.4572, w(A3) = 0.0344, w(A4) = 0.0676, w(A5) = -0.4097, w(A6) = -0.1699, w(A7) = -0.8161, w(A8) = -0.2882, w(A9) = 0.2745, w(A10) = 0.0099, w(A11) = 0.9594, w(A12) = -1.2128, w(A13) = -1.0466, output = 0.1231
After iteration 191: w(A1) = 0.2888, w(A2) = 0.4554, w(A3) = 0.0344, w(A4) = 0.0676, w(A5) = -0.4115, w(A6) = -0.1699, w(A7) = -0.8179, w(A8) = -0.2901, w(A9) = 0.2745, w(A10) = 0.0080, w(A11) = 0.9594, w(A12) = -1.2147, w(A13) = -1.0485, output = 0.0461
After iteration 192: w(A1) = 0.2888, w(A2) = 0.4554, w(A3) = 0.0344, w(A4) = 0.0676, w(A5) = -0.4150, w(A6) = -0.1699, w(A7) = -0.8179, w(A8) = -0.2901, w(A9) = 0.2745, w(A10) = 0.0080, w(A11) = 0.9594, w(A12) = -1.2182, w(A13) = -1.0520, output = 0.0639
After iteration 193: w(A1) = 0.2864, w(A2) = 0.4554, w(A3) = 0.0344, w(A4) = 0.0651, w(A5) = -0.4175, w(A6) = -0.1699, w(A7) = -0.8204, w(A8) = -0.2901, w(A9) = 0.2720, w(A10) = 0.0080, w(A11) = 0.9594, w(A12) = -1.2206, w(A13) = -1.0544, output = 0.0527
After iteration 194: w(A1) = 0.2728, w(A2) = 0.4554, w(A3) = 0.0344, w(A4) = 0.0651, w(A5) = -0.4175, w(A6) = -0.1835, w(A7) = -0.8204, w(A8) = -0.2901, w(A9) = 0.2585, w(A10) = 0.0080, w(A11) = 0.9594, w(A12) = -1.2341, w(A13) = -1.0680, output = 0.1241
After iteration 195: w(A1) = 0.2728, w(A2) = 0.4554, w(A3) = 0.0865, w(A4) = 0.1172, w(A5) = -0.3654, w(A6) = -0.1835, w(A7) = -0.8204, w(A8) = -0.2380, w(A9) = 0.3106, w(A10) = 0.0601, w(A11) = 0.9594, w(A12) = -1.1821, w(A13) = -1.0159, output = 0.0973
After iteration 196: w(A1) = 0.2465, w(A2) = 0.4290, w(A3) = 0.0602, w(A4) = 0.0909, w(A5) = -0.3654, w(A6) = -0.2098, w(A7) = -0.8204, w(A8) = -0.2380, w(A9) = 0.3106, w(A10) = 0.0601, w(A11) = 0.9594, w(A12) = -1.2084, w(A13) = -1.0422, output = 0.1633
After iteration 197: w(A1) = 0.2374, w(A2) = 0.4199, w(A3) = 0.0511, w(A4) = 0.0909, w(A5) = -0.3745, w(A6) = -0.2189, w(A7) = -0.8295, w(A8) = -0.2471, w(A9) = 0.3106, w(A10) = 0.0510, w(A11) = 0.9504, w(A12) = -1.2175, w(A13) = -1.0513, output = 0.0972
After iteration 198: w(A1) = 0.3548, w(A2) = 0.5373, w(A3) = 0.1685, w(A4) = 0.2083, w(A5) = -0.2571, w(A6) = -0.1015, w(A7) = -0.8295, w(A8) = -0.1297, w(A9) = 0.3106, w(A10) = 0.1684, w(A11) = 1.0677, w(A12) = -1.2175, w(A13) = -0.9339, output = 0.7470
After iteration 199: w(A1) = 0.2675, w(A2) = 0.4500, w(A3) = 0.0811, w(A4) = 0.2083, w(A5) = -0.2571, w(A6) = -0.1015, w(A7) = -0.9168, w(A8) = -0.1297, w(A9) = 0.2233, w(A10) = 0.1684, w(A11) = 1.0677, w(A12) = -1.2175, w(A13) = -1.0213, output = 0.2857
After iteration 200: w(A1) = 0.2675, w(A2) = 0.4500, w(A3) = 0.0811, w(A4) = 0.2989, w(A5) = -0.2571, w(A6) = -0.1015, w(A7) = -0.9168, w(A8) = -0.1297, w(A9) = 0.2233, w(A10) = 0.2591, w(A11) = 1.0677, w(A12) = -1.1268, w(A13) = -0.9306, output = 0.1825
After iteration 201: w(A1) = 0.3193, w(A2) = 0.5018, w(A3) = 0.1329, w(A4) = 0.2989, w(A5) = -0.2571, w(A6) = -0.0497, w(A7) = -0.9168, w(A8) = -0.0779, w(A9) = 0.2750, w(A10) = 0.2591, w(A11) = 1.1195, w(A12) = -1.1268, w(A13) = -0.8788, output = 0.7928
After iteration 202: w(A1) = 0.2267, w(A2) = 0.4092, w(A3) = 0.0404, w(A4) = 0.2063, w(A5) = -0.3497, w(A6) = -0.1423, w(A7) = -1.0093, w(A8) = -0.0779, w(A9) = 0.1825, w(A10) = 0.1665, w(A11) = 1.1195, w(A12) = -1.1268, w(A13) = -0.9714, output = 0.2242
After iteration 203: w(A1) = 0.2058, w(A2) = 0.4092, w(A3) = 0.0404, w(A4) = 0.1855, w(A5) = -0.3497, w(A6) = -0.1631, w(A7) = -1.0302, w(A8) = -0.0988, w(A9) = 0.1825, w(A10) = 0.1456, w(A11) = 1.0987, w(A12) = -1.1477, w(A13) = -0.9922, output = 0.1423
After iteration 204: w(A1) = 0.1953, w(A2) = 0.4092, w(A3) = 0.0298, w(A4) = 0.1749, w(A5) = -0.3603, w(A6) = -0.1631, w(A7) = -1.0408, w(A8) = -0.1094, w(A9) = 0.1825, w(A10) = 0.1456, w(A11) = 1.0987, w(A12) = -1.1477, w(A13) = -1.0028, output = 0.1078
After iteration 205: w(A1) = 0.1752, w(A2) = 0.3891, w(A3) = 0.0298, w(A4) = 0.1749, w(A5) = -0.3803, w(A6) = -0.1832, w(A7) = -1.0608, w(A8) = -0.1094, w(A9) = 0.1624, w(A10) = 0.1256, w(A11) = 1.0987, w(A12) = -1.1477, w(A13) = -1.0229, output = 0.1425
After iteration 206: w(A1) = 0.1752, w(A2) = 0.3068, w(A3) = 0.0298, w(A4) = 0.0925, w(A5) = -0.3803, w(A6) = -0.2656, w(A7) = -1.0608, w(A8) = -0.1917, w(A9) = 0.0800, w(A10) = 0.0432, w(A11) = 1.0987, w(A12) = -1.1477, w(A13) = -1.1053, output = 0.2611
After iteration 207: w(A1) = 0.2610, w(A2) = 0.3068, w(A3) = 0.1156, w(A4) = 0.1783, w(A5) = -0.3803, w(A6) = -0.2656, w(A7) = -1.0608, w(A8) = -0.1917, w(A9) = 0.1658, w(A10) = 0.1290, w(A11) = 1.1845, w(A12) = -1.1477, w(A13) = -1.0195, output = 0.7339
After iteration 208: w(A1) = 0.2110, w(A2) = 0.2568, w(A3) = 0.0656, w(A4) = 0.1284, w(A5) = -0.4303, w(A6) = -0.3156, w(A7) = -1.0608, w(A8) = -0.2417, w(A9) = 0.1658, w(A10) = 0.1290, w(A11) = 1.1345, w(A12) = -1.1977, w(A13) = -1.0694, output = 0.1887
After iteration 209: w(A1) = 0.2110, w(A2) = 0.3781, w(A3) = 0.0656, w(A4) = 0.1284, w(A5) = -0.3090, w(A6) = -0.3156, w(A7) = -0.9395, w(A8) = -0.1204, w(A9) = 0.2871, w(A10) = 0.1290, w(A11) = 1.2558, w(A12) = -1.1977, w(A13) = -0.9481, output = 0.4022
After iteration 210: w(A1) = 0.2110, w(A2) = 0.3781, w(A3) = 0.0656, w(A4) = 0.0717, w(A5) = -0.3090, w(A6) = -0.3722, w(A7) = -0.9395, w(A8) = -0.1204, w(A9) = 0.2305, w(A10) = 0.1290, w(A11) = 1.2558, w(A12) = -1.1977, w(A13) = -1.0048, output = 0.2545
After iteration 211: w(A1) = 0.2110, w(A2) = 0.4861, w(A3) = 0.0656, w(A4) = 0.0717, w(A5) = -0.2010, w(A6) = -0.2642, w(A7) = -0.9395, w(A8) = -0.1204, w(A9) = 0.2305, w(A10) = 0.2370, w(A11) = 1.3638, w(A12) = -1.1977, w(A13) = -0.8968, output = 0.6737
After iteration 212: w(A1) = 0.2110, w(A2) = 0.4492, w(A3) = 0.0656, w(A4) = 0.0717, w(A5) = -0.2378, w(A6) = -0.2642, w(A7) = -0.9764, w(A8) = -0.1573, w(A9) = 0.1936, w(A10) = 0.2001, w(A11) = 1.3638, w(A12) = -1.1977, w(A13) = -0.9336, output = 0.1881
After iteration 213: w(A1) = 0.2110, w(A2) = 0.4257, w(A3) = 0.0656, w(A4) = 0.0717, w(A5) = -0.2614, w(A6) = -0.2642, w(A7) = -0.9764, w(A8) = -0.1573, w(A9) = 0.1700, w(A10) = 0.1766, w(A11) = 1.3638, w(A12) = -1.2212, w(A13) = -0.9572, output = 0.1587
After iteration 214: w(A1) = 0.2110, w(A2) = 0.4257, w(A3) = 0.0649, w(A4) = 0.0710, w(A5) = -0.2621, w(A6) = -0.2649, w(A7) = -0.9771, w(A8) = -0.1573, w(A9) = 0.1700, w(A10) = 0.1766, w(A11) = 1.3638, w(A12) = -1.2219, w(A13) = -0.9579, output = 0.0280
After iteration 215: w(A1) = 0.2110, w(A2) = 0.3915, w(A3) = 0.0649, w(A4) = 0.0369, w(A5) = -0.2621, w(A6) = -0.2649, w(A7) = -1.0112, w(A8) = -0.1573, w(A9) = 0.1700, w(A10) = 0.1424, w(A11) = 1.3638, w(A12) = -1.2219, w(A13) = -0.9920, output = 0.1927
After iteration 216: w(A1) = 0.2110, w(A2) = 0.3680, w(A3) = 0.0414, w(A4) = 0.0369, w(A5) = -0.2621, w(A6) = -0.2884, w(A7) = -1.0348, w(A8) = -0.1573, w(A9) = 0.1700, w(A10) = 0.1189, w(A11) = 1.3403, w(A12) = -1.2454, w(A13) = -1.0156, output = 0.1524
After iteration 217: w(A1) = 0.2110, w(A2) = 0.3483, w(A3) = 0.0414, w(A4) = 0.0171, w(A5) = -0.2621, w(A6) = -0.2884, w(A7) = -1.0545, w(A8) = -0.1573, w(A9) = 0.1700, w(A10) = 0.1189, w(A11) = 1.3403, w(A12) = -1.2454, w(A13) = -1.0353, output = 0.1513
After iteration 218: w(A1) = 0.2110, w(A2) = 0.2193, w(A3) = 0.0414, w(A4) = -0.1118, w(A5) = -0.2621, w(A6) = -0.4174, w(A7) = -1.0545, w(A8) = -0.1573, w(A9) = 0.1700, w(A10) = 0.1189, w(A11) = 1.2113, w(A12) = -1.2454, w(A13) = -1.1643, output = 0.4347
After iteration 219: w(A1) = 0.3230, w(A2) = 0.3313, w(A3) = 0.1534, w(A4) = -0.1118, w(A5) = -0.1501, w(A6) = -0.3054, w(A7) = -1.0545, w(A8) = -0.1573, w(A9) = 0.2820, w(A10) = 0.1189, w(A11) = 1.3233, w(A12) = -1.2454, w(A13) = -1.0523, output = 0.7120
After iteration 220: w(A1) = 0.3230, w(A2) = 0.3313, w(A3) = 0.2420, w(A4) = -0.1118, w(A5) = -0.1501, w(A6) = -0.3054, w(A7) = -1.0545, w(A8) = -0.0687, w(A9) = 0.3706, w(A10) = 0.2074, w(A11) = 1.3233, w(A12) = -1.1569, w(A13) = -0.9637, output = 0.2027
After iteration 221: w(A1) = 0.3230, w(A2) = 0.3015, w(A3) = 0.2122, w(A4) = -0.1118, w(A5) = -0.1799, w(A6) = -0.3351, w(A7) = -1.0842, w(A8) = -0.0687, w(A9) = 0.3408, w(A10) = 0.2074, w(A11) = 1.2936, w(A12) = -1.1866, w(A13) = -0.9934, output = 0.1637
After iteration 222: w(A1) = 0.3873, w(A2) = 0.3659, w(A3) = 0.2122, w(A4) = -0.1118, w(A5) = -0.1799, w(A6) = -0.2708, w(A7) = -1.0842, w(A8) = -0.0044, w(A9) = 0.3408, w(A10) = 0.2718, w(A11) = 1.3579, w(A12) = -1.1866, w(A13) = -0.9291, output = 0.7647
After iteration 223: w(A1) = 0.2562, w(A2) = 0.2347, w(A3) = 0.0811, w(A4) = -0.1118, w(A5) = -0.1799, w(A6) = -0.2708, w(A7) = -1.2154, w(A8) = -0.1355, w(A9) = 0.2097, w(A10) = 0.1406, w(A11) = 1.2268, w(A12) = -1.1866, w(A13) = -1.0603, output = 0.4348
After iteration 224: w(A1) = 0.2562, w(A2) = 0.3041, w(A3) = 0.1504, w(A4) = -0.1118, w(A5) = -0.1105, w(A6) = -0.2708, w(A7) = -1.2154, w(A8) = -0.1355, w(A9) = 0.2791, w(A10) = 0.2100, w(A11) = 1.2961, w(A12) = -1.1866, w(A13) = -0.9909, output = 0.7574
After iteration 225: w(A1) = 0.2562, w(A2) = 0.2456, w(A3) = 0.0920, w(A4) = -0.1703, w(A5) = -0.1689, w(A6) = -0.3292, w(A7) = -1.2154, w(A8) = -0.1355, w(A9) = 0.2791, w(A10) = 0.1516, w(A11) = 1.2961, w(A12) = -1.1866, w(A13) = -1.0493, output = 0.2264
After iteration 226: w(A1) = 0.2476, w(A2) = 0.2456, w(A3) = 0.0920, w(A4) = -0.1703, w(A5) = -0.1775, w(A6) = -0.3292, w(A7) = -1.2240, w(A8) = -0.1441, w(A9) = 0.2791, w(A10) = 0.1430, w(A11) = 1.2961, w(A12) = -1.1866, w(A13) = -1.0579, output = 0.0986
After iteration 227: w(A1) = 0.2476, w(A2) = 0.2456, w(A3) = 0.0884, w(A4) = -0.1703, w(A5) = -0.1811, w(A6) = -0.3328, w(A7) = -1.2240, w(A8) = -0.1477, w(A9) = 0.2791, w(A10) = 0.1394, w(A11) = 1.2961, w(A12) = -1.1902, w(A13) = -1.0615, output = 0.0638
After iteration 228: w(A1) = 0.1983, w(A2) = 0.2456, w(A3) = 0.0392, w(A4) = -0.2195, w(A5) = -0.2304, w(A6) = -0.3328, w(A7) = -1.2240, w(A8) = -0.1477, w(A9) = 0.2791, w(A10) = 0.1394, w(A11) = 1.2469, w(A12) = -1.2394, w(A13) = -1.1108, output = 0.2115
After iteration 229: w(A1) = 0.1983, w(A2) = 0.2456, w(A3) = 0.0392, w(A4) = -0.2195, w(A5) = -0.1145, w(A6) = -0.2170, w(A7) = -1.1081, w(A8) = -0.1477, w(A9) = 0.3949, w(A10) = 0.1394, w(A11) = 1.3627, w(A12) = -1.2394, w(A13) = -0.9949, output = 0.3369
After iteration 230: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.0392, w(A4) = -0.2295, w(A5) = -0.1246, w(A6) = -0.2270, w(A7) = -1.1182, w(A8) = -0.1477, w(A9) = 0.3949, w(A10) = 0.1293, w(A11) = 1.3627, w(A12) = -1.2394, w(A13) = -1.0049, output = 0.1042
After iteration 231: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.0392, w(A4) = -0.2295, w(A5) = -0.1744, w(A6) = -0.2768, w(A7) = -1.1182, w(A8) = -0.1477, w(A9) = 0.3451, w(A10) = 0.1293, w(A11) = 1.3627, w(A12) = -1.2394, w(A13) = -1.0547, output = 0.2385
After iteration 232: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.0392, w(A4) = -0.1653, w(A5) = -0.1101, w(A6) = -0.2768, w(A7) = -1.1182, w(A8) = -0.0834, w(A9) = 0.4094, w(A10) = 0.1936, w(A11) = 1.3627, w(A12) = -1.1752, w(A13) = -0.9905, output = 0.1277
After iteration 233: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.1715, w(A4) = -0.1653, w(A5) = 0.0223, w(A6) = -0.1444, w(A7) = -1.1182, w(A8) = -0.0834, w(A9) = 0.5418, w(A10) = 0.3260, w(A11) = 1.4951, w(A12) = -1.0428, w(A13) = -0.8581, output = 0.6251
After iteration 234: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.2336, w(A4) = -0.1032, w(A5) = 0.0843, w(A6) = -0.0824, w(A7) = -1.1182, w(A8) = -0.0214, w(A9) = 0.5418, w(A10) = 0.3880, w(A11) = 1.5571, w(A12) = -1.0428, w(A13) = -0.7961, output = 0.7790
After iteration 235: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.2336, w(A4) = -0.1156, w(A5) = 0.0843, w(A6) = -0.0824, w(A7) = -1.1182, w(A8) = -0.0214, w(A9) = 0.5418, w(A10) = 0.3880, w(A11) = 1.5571, w(A12) = -1.0552, w(A13) = -0.8084, output = 0.1214
After iteration 236: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.2035, w(A4) = -0.1457, w(A5) = 0.0543, w(A6) = -0.1125, w(A7) = -1.1182, w(A8) = -0.0214, w(A9) = 0.5418, w(A10) = 0.3580, w(A11) = 1.5571, w(A12) = -1.0852, w(A13) = -0.8385, output = 0.1728
After iteration 237: w(A1) = 0.1883, w(A2) = 0.2356, w(A3) = 0.2035, w(A4) = -0.1489, w(A5) = 0.0511, w(A6) = -0.1156, w(A7) = -1.1214, w(A8) = -0.0246, w(A9) = 0.5386, w(A10) = 0.3580, w(A11) = 1.5571, w(A12) = -1.0884, w(A13) = -0.8417, output = 0.0600
After iteration 238: w(A1) = 0.1072, w(A2) = 0.2356, w(A3) = 0.2035, w(A4) = -0.2300, w(A5) = 0.0511, w(A6) = -0.1967, w(A7) = -1.2024, w(A8) = -0.0246, w(A9) = 0.5386, w(A10) = 0.3580, w(A11) = 1.4760, w(A12) = -1.0884, w(A13) = -0.9228, output = 0.2751
After iteration 239: w(A1) = 0.0990, w(A2) = 0.2356, w(A3) = 0.1953, w(A4) = -0.2382, w(A5) = 0.0429, w(A6) = -0.2049, w(A7) = -1.2106, w(A8) = -0.0246, w(A9) = 0.5386, w(A10) = 0.3580, w(A11) = 1.4760, w(A12) = -1.0884, w(A13) = -0.9310, output = 0.0956
After iteration 240: w(A1) = 0.1160, w(A2) = 0.2526, w(A3) = 0.2123, w(A4) = -0.2382, w(A5) = 0.0429, w(A6) = -0.1879, w(A7) = -1.2106, w(A8) = -0.0076, w(A9) = 0.5556, w(A10) = 0.3750, w(A11) = 1.4931, w(A12) = -1.0884, w(A13) = -0.9140, output = 0.8693
After iteration 241: w(A1) = 0.2085, w(A2) = 0.3451, w(A3) = 0.3048, w(A4) = -0.2382, w(A5) = 0.0429, w(A6) = -0.0955, w(A7) = -1.1182, w(A8) = -0.0076, w(A9) = 0.6481, w(A10) = 0.3750, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -0.8215, output = 0.7421
After iteration 242: w(A1) = 0.2085, w(A2) = 0.2228, w(A3) = 0.1825, w(A4) = -0.2382, w(A5) = 0.0429, w(A6) = -0.0955, w(A7) = -1.1182, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -0.9438, output = 0.3975
After iteration 243: w(A1) = 0.1870, w(A2) = 0.2013, w(A3) = 0.1825, w(A4) = -0.2382, w(A5) = 0.0214, w(A6) = -0.0955, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -0.9653, output = 0.1551
After iteration 244: w(A1) = 0.1870, w(A2) = 0.2013, w(A3) = 0.1277, w(A4) = -0.2382, w(A5) = 0.0214, w(A6) = -0.1502, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.5855, w(A12) = -1.0884, w(A13) = -1.0201, output = 0.2606
After iteration 245: w(A1) = 0.1870, w(A2) = 0.0692, w(A3) = -0.0044, w(A4) = -0.3703, w(A5) = -0.1107, w(A6) = -0.2823, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.2527, w(A11) = 1.4534, w(A12) = -1.0884, w(A13) = -1.1522, output = 0.4020
After iteration 246: w(A1) = 0.3160, w(A2) = 0.1982, w(A3) = -0.0044, w(A4) = -0.2412, w(A5) = -0.1107, w(A6) = -0.2823, w(A7) = -1.1397, w(A8) = -0.1299, w(A9) = 0.6481, w(A10) = 0.3817, w(A11) = 1.4534, w(A12) = -1.0884, w(A13) = -1.0232, output = 0.4089
After iteration 247: w(A1) = 0.3142, w(A2) = 0.1982, w(A3) = -0.0044, w(A4) = -0.2430, w(A5) = -0.1125, w(A6) = -0.2823, w(A7) = -1.1415, w(A8) = -0.1317, w(A9) = 0.6481, w(A10) = 0.3799, w(A11) = 1.4534, w(A12) = -1.0902, w(A13) = -1.0250, output = 0.0452
After iteration 248: w(A1) = 0.3142, w(A2) = 0.0787, w(A3) = -0.1239, w(A4) = -0.3626, w(A5) = -0.2321, w(A6) = -0.2823, w(A7) = -1.1415, w(A8) = -0.2512, w(A9) = 0.6481, w(A10) = 0.3799, w(A11) = 1.3339, w(A12) = -1.0902, w(A13) = -1.1445, output = 0.3314
After iteration 249: w(A1) = 0.2829, w(A2) = 0.0787, w(A3) = -0.1239, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.3136, w(A7) = -1.1415, w(A8) = -0.2512, w(A9) = 0.6481, w(A10) = 0.3486, w(A11) = 1.3339, w(A12) = -1.0902, w(A13) = -1.1758, output = 0.1802
After iteration 250: w(A1) = 0.2829, w(A2) = 0.0774, w(A3) = -0.1239, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.3148, w(A7) = -1.1427, w(A8) = -0.2525, w(A9) = 0.6469, w(A10) = 0.3486, w(A11) = 1.3339, w(A12) = -1.0914, w(A13) = -1.1770, output = 0.0372
After iteration 251: w(A1) = 0.2829, w(A2) = 0.1784, w(A3) = -0.0230, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2139, w(A7) = -1.1427, w(A8) = -0.1515, w(A9) = 0.7478, w(A10) = 0.3486, w(A11) = 1.4348, w(A12) = -1.0914, w(A13) = -1.0761, output = 0.7102
After iteration 252: w(A1) = 0.2829, w(A2) = 0.1531, w(A3) = -0.0483, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2391, w(A7) = -1.1427, w(A8) = -0.1515, w(A9) = 0.7225, w(A10) = 0.3486, w(A11) = 1.4348, w(A12) = -1.1167, w(A13) = -1.1013, output = 0.1639
After iteration 253: w(A1) = 0.2829, w(A2) = 0.1429, w(A3) = -0.0585, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2493, w(A7) = -1.1529, w(A8) = -0.1515, w(A9) = 0.7225, w(A10) = 0.3486, w(A11) = 1.4246, w(A12) = -1.1269, w(A13) = -1.1115, output = 0.1061
After iteration 254: w(A1) = 0.1832, w(A2) = 0.1429, w(A3) = -0.0585, w(A4) = -0.3938, w(A5) = -0.2633, w(A6) = -0.2493, w(A7) = -1.2527, w(A8) = -0.1515, w(A9) = 0.7225, w(A10) = 0.2489, w(A11) = 1.3249, w(A12) = -1.1269, w(A13) = -1.2113, output = 0.3303
After iteration 255: w(A1) = 0.2835, w(A2) = 0.1429, w(A3) = 0.0418, w(A4) = -0.2936, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2527, w(A8) = -0.0513, w(A9) = 0.7225, w(A10) = 0.2489, w(A11) = 1.4252, w(A12) = -1.0266, w(A13) = -1.1110, output = 0.2930
After iteration 256: w(A1) = 0.2835, w(A2) = 0.0685, w(A3) = -0.0326, w(A4) = -0.2936, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2527, w(A8) = -0.1257, w(A9) = 0.7225, w(A10) = 0.2489, w(A11) = 1.3508, w(A12) = -1.1010, w(A13) = -1.1854, output = 0.2640
After iteration 257: w(A1) = 0.2761, w(A2) = 0.0611, w(A3) = -0.0400, w(A4) = -0.2936, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2601, w(A8) = -0.1257, w(A9) = 0.7151, w(A10) = 0.2415, w(A11) = 1.3508, w(A12) = -1.1085, w(A13) = -1.1928, output = 0.0905
After iteration 258: w(A1) = 0.2761, w(A2) = 0.0611, w(A3) = -0.0400, w(A4) = -0.3072, w(A5) = -0.2633, w(A6) = -0.1491, w(A7) = -1.2601, w(A8) = -0.1257, w(A9) = 0.7014, w(A10) = 0.2415, w(A11) = 1.3508, w(A12) = -1.1221, w(A13) = -1.2065, output = 0.1263
After iteration 259: w(A1) = 0.4085, w(A2) = 0.0611, w(A3) = -0.0400, w(A4) = -0.3072, w(A5) = -0.1309, w(A6) = -0.0166, w(A7) = -1.1277, w(A8) = -0.1257, w(A9) = 0.8338, w(A10) = 0.2415, w(A11) = 1.4832, w(A12) = -1.1221, w(A13) = -1.0741, output = 0.5930
