After iteration 1: w(A1) = -0.1125, w(A2) = -0.1125, w(A3) = 0.0000, w(A4) = 0.0000, w(A5) = 0.0000, w(A6) = 0.0000, w(A7) = 0.0000, w(A8) = 0.0000, w(A9) = -0.1125, w(A10) = -0.1125, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.1125, output = 0.3630
After iteration 2: w(A1) = -0.1125, w(A2) = -0.1125, w(A3) = -0.1058, w(A4) = -0.1058, w(A5) = 0.0000, w(A6) = -0.1058, w(A7) = -0.1058, w(A8) = 0.0000, w(A9) = -0.1125, w(A10) = -0.1125, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.2183, output = 0.3449
After iteration 3: w(A1) = -0.1125, w(A2) = 0.0206, w(A3) = -0.1058, w(A4) = 0.0272, w(A5) = 0.1331, w(A6) = -0.1058, w(A7) = 0.0272, w(A8) = 0.0000, w(A9) = 0.0206, w(A10) = 0.0206, w(A11) = 0.1331, w(A12) = 0.0000, w(A13) = -0.0853, output = 0.5738
After iteration 4: w(A1) = -0.1125, w(A2) = 0.0206, w(A3) = -0.2098, w(A4) = 0.0272, w(A5) = 0.1331, w(A6) = -0.2098, w(A7) = 0.0272, w(A8) = -0.1039, w(A9) = 0.0206, w(A10) = -0.0833, w(A11) = 0.0292, w(A12) = -0.1039, w(A13) = -0.1892, output = 0.2951
After iteration 5: w(A1) = -0.1125, w(A2) = -0.0655, w(A3) = -0.2098, w(A4) = 0.0272, w(A5) = 0.1331, w(A6) = -0.2098, w(A7) = 0.0272, w(A8) = -0.1900, w(A9) = -0.0655, w(A10) = -0.1694, w(A11) = -0.0569, w(A12) = -0.1900, w(A13) = -0.2753, output = 0.2665
After iteration 6: w(A1) = -0.1125, w(A2) = 0.0652, w(A3) = -0.0790, w(A4) = 0.1580, w(A5) = 0.1331, w(A6) = -0.2098, w(A7) = 0.0272, w(A8) = -0.0593, w(A9) = -0.0655, w(A10) = -0.0387, w(A11) = 0.0738, w(A12) = -0.1900, w(A13) = -0.1445, output = 0.4939
After iteration 7: w(A1) = -0.1125, w(A2) = -0.0394, w(A3) = -0.1837, w(A4) = 0.1580, w(A5) = 0.1331, w(A6) = -0.2098, w(A7) = -0.0774, w(A8) = -0.0593, w(A9) = -0.0655, w(A10) = -0.0387, w(A11) = 0.0738, w(A12) = -0.1900, w(A13) = -0.2492, output = 0.3659
After iteration 8: w(A1) = -0.1125, w(A2) = -0.0394, w(A3) = -0.1837, w(A4) = 0.0551, w(A5) = 0.0303, w(A6) = -0.2098, w(A7) = -0.1803, w(A8) = -0.1621, w(A9) = -0.1683, w(A10) = -0.0387, w(A11) = 0.0738, w(A12) = -0.1900, w(A13) = -0.3520, output = 0.3149
After iteration 9: w(A1) = -0.1125, w(A2) = -0.0394, w(A3) = -0.1837, w(A4) = 0.0551, w(A5) = 0.0303, w(A6) = -0.2098, w(A7) = -0.2514, w(A8) = -0.1621, w(A9) = -0.2395, w(A10) = -0.0387, w(A11) = 0.0027, w(A12) = -0.1900, w(A13) = -0.4232, output = 0.2867
After iteration 10: w(A1) = 0.0188, w(A2) = -0.0394, w(A3) = -0.0524, w(A4) = 0.1865, w(A5) = 0.1616, w(A6) = -0.2098, w(A7) = -0.2514, w(A8) = -0.1621, w(A9) = -0.1081, w(A10) = 0.0926, w(A11) = 0.1340, w(A12) = -0.1900, w(A13) = -0.2919, output = 0.5352
After iteration 11: w(A1) = 0.0188, w(A2) = 0.0939, w(A3) = 0.0809, w(A4) = 0.1865, w(A5) = 0.2949, w(A6) = -0.2098, w(A7) = -0.1181, w(A8) = -0.0288, w(A9) = 0.0252, w(A10) = 0.2260, w(A11) = 0.2673, w(A12) = -0.0567, w(A13) = -0.1585, output = 0.6516
After iteration 12: w(A1) = 0.0188, w(A2) = 0.0939, w(A3) = -0.0492, w(A4) = 0.0563, w(A5) = 0.2949, w(A6) = -0.2098, w(A7) = -0.2482, w(A8) = -0.0288, w(A9) = 0.0252, w(A10) = 0.0958, w(A11) = 0.1372, w(A12) = -0.1868, w(A13) = -0.2887, output = 0.3814
After iteration 13: w(A1) = 0.1494, w(A2) = 0.0939, w(A3) = 0.0813, w(A4) = 0.1869, w(A5) = 0.2949, w(A6) = -0.2098, w(A7) = -0.1177, w(A8) = 0.1017, w(A9) = 0.0252, w(A10) = 0.2264, w(A11) = 0.1372, w(A12) = -0.1868, w(A13) = -0.1581, output = 0.6153
After iteration 14: w(A1) = 0.1494, w(A2) = 0.0939, w(A3) = -0.0358, w(A4) = 0.0698, w(A5) = 0.2949, w(A6) = -0.2098, w(A7) = -0.1177, w(A8) = 0.1017, w(A9) = -0.0919, w(A10) = 0.2264, w(A11) = 0.0201, w(A12) = -0.3039, w(A13) = -0.2752, output = 0.3505
After iteration 15: w(A1) = 0.0635, w(A2) = 0.0939, w(A3) = -0.0358, w(A4) = 0.0698, w(A5) = 0.2949, w(A6) = -0.2098, w(A7) = -0.2036, w(A8) = 0.1017, w(A9) = -0.1778, w(A10) = 0.1405, w(A11) = 0.0201, w(A12) = -0.3898, w(A13) = -0.3611, output = 0.2833
After iteration 16: w(A1) = 0.0635, w(A2) = 0.2205, w(A3) = 0.0908, w(A4) = 0.1963, w(A5) = 0.4215, w(A6) = -0.0832, w(A7) = -0.2036, w(A8) = 0.1017, w(A9) = -0.0512, w(A10) = 0.1405, w(A11) = 0.1467, w(A12) = -0.3898, w(A13) = -0.2345, output = 0.6697
After iteration 17: w(A1) = -0.0487, w(A2) = 0.2205, w(A3) = 0.0908, w(A4) = 0.1963, w(A5) = 0.3093, w(A6) = -0.0832, w(A7) = -0.3158, w(A8) = -0.0105, w(A9) = -0.1634, w(A10) = 0.0283, w(A11) = 0.0345, w(A12) = -0.5020, w(A13) = -0.3467, output = 0.2660
After iteration 18: w(A1) = -0.0771, w(A2) = 0.2205, w(A3) = 0.0908, w(A4) = 0.1963, w(A5) = 0.3093, w(A6) = -0.1115, w(A7) = -0.3441, w(A8) = -0.0105, w(A9) = -0.1918, w(A10) = -0.0001, w(A11) = 0.0061, w(A12) = -0.5304, w(A13) = -0.3751, output = 0.1647
After iteration 19: w(A1) = -0.1192, w(A2) = 0.2205, w(A3) = 0.0908, w(A4) = 0.1542, w(A5) = 0.3093, w(A6) = -0.1537, w(A7) = -0.3441, w(A8) = -0.0526, w(A9) = -0.2339, w(A10) = -0.0001, w(A11) = 0.0061, w(A12) = -0.5725, w(A13) = -0.4172, output = 0.1986
After iteration 20: w(A1) = -0.1192, w(A2) = 0.2205, w(A3) = 0.0558, w(A4) = 0.1192, w(A5) = 0.3093, w(A6) = -0.1887, w(A7) = -0.3792, w(A8) = -0.0526, w(A9) = -0.2339, w(A10) = -0.0001, w(A11) = 0.0061, w(A12) = -0.6075, w(A13) = -0.4523, output = 0.1896
After iteration 21: w(A1) = -0.0229, w(A2) = 0.3168, w(A3) = 0.1521, w(A4) = 0.1192, w(A5) = 0.3093, w(A6) = -0.0924, w(A7) = -0.2829, w(A8) = 0.0438, w(A9) = -0.1376, w(A10) = 0.0962, w(A11) = 0.0061, w(A12) = -0.5112, w(A13) = -0.3559, output = 0.3113
After iteration 22: w(A1) = -0.0229, w(A2) = 0.2024, w(A3) = 0.0377, w(A4) = 0.0048, w(A5) = 0.1949, w(A6) = -0.2068, w(A7) = -0.2829, w(A8) = 0.0438, w(A9) = -0.1376, w(A10) = -0.0182, w(A11) = 0.0061, w(A12) = -0.6256, w(A13) = -0.4703, output = 0.2930
After iteration 23: w(A1) = -0.0229, w(A2) = 0.2024, w(A3) = 0.0020, w(A4) = -0.0309, w(A5) = 0.1949, w(A6) = -0.2425, w(A7) = -0.2829, w(A8) = 0.0081, w(A9) = -0.1376, w(A10) = -0.0539, w(A11) = -0.0296, w(A12) = -0.6613, w(A13) = -0.5060, output = 0.1803
After iteration 24: w(A1) = -0.0367, w(A2) = 0.2024, w(A3) = 0.0020, w(A4) = -0.0447, w(A5) = 0.1949, w(A6) = -0.2562, w(A7) = -0.2966, w(A8) = -0.0057, w(A9) = -0.1513, w(A10) = -0.0539, w(A11) = -0.0296, w(A12) = -0.6751, w(A13) = -0.5198, output = 0.1207
After iteration 25: w(A1) = -0.0367, w(A2) = 0.2024, w(A3) = -0.0568, w(A4) = -0.0447, w(A5) = 0.1949, w(A6) = -0.2562, w(A7) = -0.3554, w(A8) = -0.0057, w(A9) = -0.1513, w(A10) = -0.0539, w(A11) = -0.0296, w(A12) = -0.6751, w(A13) = -0.5786, output = 0.2708
After iteration 26: w(A1) = -0.0546, w(A2) = 0.2024, w(A3) = -0.0747, w(A4) = -0.0447, w(A5) = 0.1949, w(A6) = -0.2562, w(A7) = -0.3733, w(A8) = -0.0237, w(A9) = -0.1513, w(A10) = -0.0539, w(A11) = -0.0296, w(A12) = -0.6930, w(A13) = -0.5965, output = 0.1399
After iteration 27: w(A1) = -0.0741, w(A2) = 0.2024, w(A3) = -0.0747, w(A4) = -0.0447, w(A5) = 0.1949, w(A6) = -0.2757, w(A7) = -0.3733, w(A8) = -0.0237, w(A9) = -0.1513, w(A10) = -0.0733, w(A11) = -0.0296, w(A12) = -0.7125, w(A13) = -0.6160, output = 0.1479
After iteration 28: w(A1) = -0.0867, w(A2) = 0.2024, w(A3) = -0.0747, w(A4) = -0.0447, w(A5) = 0.1823, w(A6) = -0.2883, w(A7) = -0.3860, w(A8) = -0.0237, w(A9) = -0.1513, w(A10) = -0.0860, w(A11) = -0.0296, w(A12) = -0.7251, w(A13) = -0.6286, output = 0.1173
