After iteration 1: w(A1) = -0.0375, w(A2) = -0.0375, w(A3) = 0.0000, w(A4) = 0.0000, w(A5) = 0.0000, w(A6) = 0.0000, w(A7) = 0.0000, w(A8) = 0.0000, w(A9) = -0.0375, w(A10) = -0.0375, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.0375, output = 0.4533
After iteration 2: w(A1) = -0.0375, w(A2) = -0.0375, w(A3) = -0.0368, w(A4) = -0.0368, w(A5) = 0.0000, w(A6) = -0.0368, w(A7) = -0.0368, w(A8) = 0.0000, w(A9) = -0.0375, w(A10) = -0.0375, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.0743, output = 0.4449
After iteration 3: w(A1) = -0.0375, w(A2) = 0.0041, w(A3) = -0.0368, w(A4) = 0.0049, w(A5) = 0.0416, w(A6) = -0.0368, w(A7) = 0.0049, w(A8) = 0.0000, w(A9) = 0.0041, w(A10) = 0.0041, w(A11) = 0.0416, w(A12) = 0.0000, w(A13) = -0.0326, output = 0.5182
After iteration 4: w(A1) = -0.0375, w(A2) = 0.0041, w(A3) = -0.0731, w(A4) = 0.0049, w(A5) = 0.0416, w(A6) = -0.0731, w(A7) = 0.0049, w(A8) = -0.0363, w(A9) = 0.0041, w(A10) = -0.0322, w(A11) = 0.0053, w(A12) = -0.0363, w(A13) = -0.0690, output = 0.4220
After iteration 5: w(A1) = -0.0375, w(A2) = -0.0301, w(A3) = -0.0731, w(A4) = 0.0049, w(A5) = 0.0416, w(A6) = -0.0731, w(A7) = 0.0049, w(A8) = -0.0706, w(A9) = -0.0301, w(A10) = -0.0665, w(A11) = -0.0290, w(A12) = -0.0706, w(A13) = -0.1033, output = 0.4013
After iteration 6: w(A1) = -0.0375, w(A2) = 0.0127, w(A3) = -0.0303, w(A4) = 0.0477, w(A5) = 0.0416, w(A6) = -0.0731, w(A7) = 0.0049, w(A8) = -0.0278, w(A9) = -0.0301, w(A10) = -0.0236, w(A11) = 0.0139, w(A12) = -0.0706, w(A13) = -0.0604, output = 0.4831
After iteration 7: w(A1) = -0.0375, w(A2) = -0.0234, w(A3) = -0.0663, w(A4) = 0.0477, w(A5) = 0.0416, w(A6) = -0.0731, w(A7) = -0.0312, w(A8) = -0.0278, w(A9) = -0.0301, w(A10) = -0.0236, w(A11) = 0.0139, w(A12) = -0.0706, w(A13) = -0.0965, output = 0.4459
After iteration 8: w(A1) = -0.0375, w(A2) = -0.0234, w(A3) = -0.0663, w(A4) = 0.0121, w(A5) = 0.0060, w(A6) = -0.0731, w(A7) = -0.0668, w(A8) = -0.0634, w(A9) = -0.0658, w(A10) = -0.0236, w(A11) = 0.0139, w(A12) = -0.0706, w(A13) = -0.1321, output = 0.4231
After iteration 9: w(A1) = -0.0375, w(A2) = -0.0234, w(A3) = -0.0663, w(A4) = 0.0121, w(A5) = 0.0060, w(A6) = -0.0731, w(A7) = -0.0991, w(A8) = -0.0634, w(A9) = -0.0981, w(A10) = -0.0236, w(A11) = -0.0184, w(A12) = -0.0706, w(A13) = -0.1644, output = 0.4061
After iteration 10: w(A1) = 0.0056, w(A2) = -0.0234, w(A3) = -0.0233, w(A4) = 0.0552, w(A5) = 0.0491, w(A6) = -0.0731, w(A7) = -0.0991, w(A8) = -0.0634, w(A9) = -0.0550, w(A10) = 0.0194, w(A11) = 0.0246, w(A12) = -0.0706, w(A13) = -0.1213, output = 0.4886
After iteration 11: w(A1) = 0.0056, w(A2) = 0.0194, w(A3) = 0.0195, w(A4) = 0.0552, w(A5) = 0.0919, w(A6) = -0.0731, w(A7) = -0.0563, w(A8) = -0.0206, w(A9) = -0.0122, w(A10) = 0.0623, w(A11) = 0.0674, w(A12) = -0.0278, w(A13) = -0.0785, output = 0.5163
